text_id,text,tox,tox_rate,response,tox_type,phrases,phrase_types,lex,lex_counts,Pos
0,Кармодрочеры,Кармодрочеры,4,post: animate,general_insult,Кармодрочеры,direct,кармодрочеры,1,S
1,"Да блять ! 🤦 Он не взламывал игры, а симал их. Это дохуя разные вещи . Так что про пирата - тут с ахуенной натяжкой.","Да блять ! 🤦 Он не взламывал игры, а симал их. Это дохуя разные вещи . Так что про пирата - тут с ахуенной натяжкой.",5,post: animate,profanity,Да блять !,direct,блять,1,V
1,"Да блять ! 🤦 Он не взламывал игры, а симал их. Это дохуя разные вещи . Так что про пирата - тут с ахуенной натяжкой.","Да блять ! 🤦 Он не взламывал игры, а симал их. Это дохуя разные вещи . Так что про пирата - тут с ахуенной натяжкой.",5,post: animate,profanity,Это дохуя разные вещи,direct,дохуя,1,V
1,"Да блять ! 🤦 Он не взламывал игры, а симал их. Это дохуя разные вещи . Так что про пирата - тут с ахуенной натяжкой.","Да блять ! 🤦 Он не взламывал игры, а симал их. Это дохуя разные вещи . Так что про пирата - тут с ахуенной натяжкой.",5,post: animate,profanity,Так что про пирата - тут с ахуенной натяжкой.,direct,ахуенной,1,A
2,Вы там охуели что-ли за 6500 стрижка ? Это где блять такое?,Вы там охуели что-ли за 6500 стрижка ? Это где блять такое?,8,post: inanimate,profanity,Вы там охуели что-ли за 6500 стрижка,direct,охуели,1,V
2,Вы там охуели что-ли за 6500 стрижка ? Это где блять такое?,Вы там охуели что-ли за 6500 стрижка ? Это где блять такое?,8,post: inanimate,profanity,Это где блять такое?,direct,блять,1,V
3,За 6500 бородач должен ещё и отсосать,За 6500 бородач должен ещё и отсосать,5,post: animate,harassment,За 6500 бородач должен ещё и отсосать,direct,отсосать,1,V
4,"Очередной баян . Один снял, сотни повторили","Очередной баян . Один снял, сотни повторили",1,post: inanimate,general_insult,"Очередной баян . Один снял, сотни повторили",direct,баян,1,S
5,"Лукавит очкарик , судя по причёске и бороде он там постоянный клиент. Ещё и в сракотан долбится небось.","Лукавит очкарик , судя по причёске и бороде он там постоянный клиент. Ещё и в сракотан долбится небось.",7,post: animate,hate_speech: lgbtq*,Лукавит очкарик,direct,очкарик,1,S
5,"Лукавит очкарик , судя по причёске и бороде он там постоянный клиент. Ещё и в сракотан долбится небось.","Лукавит очкарик , судя по причёске и бороде он там постоянный клиент. Ещё и в сракотан долбится небось.",7,post: animate,hate_speech: lgbtq*,Ещё и в сракотан долбится небось.,direct,сракотан,1,S
6,"Бывал я в таких местах, зашёл попробовать- подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну , даром что Антоном зовут, вот такая публичная непристойность.","Бывал я в таких местах, зашёл попробовать- подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну , даром что Антоном зовут, вот такая публичная непристойность.",5,post: inanimate,profanity,"подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну",indirect,чмо,3,S
6,"Бывал я в таких местах, зашёл попробовать- подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну , даром что Антоном зовут, вот такая публичная непристойность.","Бывал я в таких местах, зашёл попробовать- подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну , даром что Антоном зовут, вот такая публичная непристойность.",5,post: inanimate,profanity,"подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну",indirect,залупу,3,S
6,"Бывал я в таких местах, зашёл попробовать- подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну , даром что Антоном зовут, вот такая публичная непристойность.","Бывал я в таких местах, зашёл попробовать- подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну , даром что Антоном зовут, вот такая публичная непристойность.",5,post: inanimate,profanity,"подстригли как чмо какое то, форму голове предали как залупу , я напоминал огромный куй 186 в длинну",indirect,куй,3,V
7,"Тут Маваши не из денег не стал стричься, а из за того что парикмахер чурка )","Тут Маваши не из денег не стал стричься, а из за того что парикмахер чурка )",6,post: animate,hate_speech: nationality,"Тут Маваши не из денег не стал стричься, а из за того что парикмахер чурка )",direct,чурка,1,S
8,"Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда ? Ёбаный баянометр на этом сайте вообще никогда работать не будет?!","Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда ? Ёбаный баянометр на этом сайте вообще никогда работать не будет?!",8,post: inanimate,profanity,"Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда",direct,блять,2,V
8,"Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда ? Ёбаный баянометр на этом сайте вообще никогда работать не будет?!","Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда ? Ёбаный баянометр на этом сайте вообще никогда работать не будет?!",8,post: inanimate,profanity,"Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда",direct,хуя,2,S
8,"Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда ? Ёбаный баянометр на этом сайте вообще никогда работать не будет?!","Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда ? Ёбаный баянометр на этом сайте вообще никогда работать не будет?!",8,post: inanimate,profanity,Ёбаный баянометр на этом сайте вообще никогда работать не будет?!,indirect,ёбаный,2,A
8,"Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда ? Ёбаный баянометр на этом сайте вообще никогда работать не будет?!","Блять , волна этих видео была полтора месяца назад... Какого хуя опять это откапывать и тащить сюда ? Ёбаный баянометр на этом сайте вообще никогда работать не будет?!",8,post: inanimate,profanity,Ёбаный баянометр на этом сайте вообще никогда работать не будет?!,indirect,баянометр,2,S
9,"Это они чтоб не травмировать скрепных мужиков , которые падают в обморок, увидев в ванной пачку прокладок жены.","Это они чтоб не травмировать скрепных мужиков , которые падают в обморок, увидев в ванной пачку прокладок жены.",6,post: animate,hate_speech: gender,Это они чтоб не травмировать скрепных мужиков,direct,скрепных,2,A
9,"Это они чтоб не травмировать скрепных мужиков , которые падают в обморок, увидев в ванной пачку прокладок жены.","Это они чтоб не травмировать скрепных мужиков , которые падают в обморок, увидев в ванной пачку прокладок жены.",6,post: animate,hate_speech: gender,Это они чтоб не травмировать скрепных мужиков,direct,мужиков,2,S
10,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,9,post: inanimate,general_insult,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,direct,нахуя,5,ADV
10,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,9,post: inanimate,general_insult,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,direct,блять,5,V
10,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,9,post: inanimate,general_insult,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,direct,вонючее,5,A
10,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,9,post: inanimate,general_insult,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,direct,прогнившее,5,V
10,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,9,post: inanimate,general_insult,Нахуя вы блять вообще смотрите это вонючее прогнившее убогое ТВ?,direct,убогое,5,A
11,"Ну прямо классика😂 Автор муд…к , но все равно во всем виноваты бабы !","Ну прямо классика😂 Автор муд…к , но все равно во всем виноваты бабы !",7,author,general_insult,"Ну прямо классика😂 Автор муд…к , но все равно во всем виноваты бабы",direct,муд…к,2,S
11,"Ну прямо классика😂 Автор муд…к , но все равно во всем виноваты бабы !","Ну прямо классика😂 Автор муд…к , но все равно во всем виноваты бабы !",7,author,general_insult,"Ну прямо классика😂 Автор муд…к , но все равно во всем виноваты бабы",direct,бабы,2,S
12,Шах и мат губошлёпки,Шах и мат губошлёпки,6,post: animate,hate_speech: gender,Шах и мат губошлёпки,indirect,губошлёпки,1,S
13,"без обид, ты тупой , если что ты сам спросил","без обид, ты тупой , если что ты сам спросил",4,author,general_insult,ты тупой,direct,тупой,1,A
14,Глава Пиздабольского муниципального округа,Глава Пиздабольского муниципального округа,8,author,general_insult,Глава Пиздабольского муниципального округа,indirect,пиздабольского,1,A
15,Ну и дурак,Ну и дурак,3,author,general_insult,Ну и дурак,direct,дурак,1,S
16,"Тебя мамка била в детстве, да? Это потому, что ты дурачком рос. Не помогло, кстати.","Тебя мамка била в детстве, да? Это потому, что ты дурачком рос. Не помогло, кстати.",7,author,general_insult,"Тебя мамка била в детстве, да? Это потому, что ты дурачком рос. Не помогло, кстати.",direct,мамка,2,S
16,"Тебя мамка била в детстве, да? Это потому, что ты дурачком рос. Не помогло, кстати.","Тебя мамка била в детстве, да? Это потому, что ты дурачком рос. Не помогло, кстати.",7,author,general_insult,"Тебя мамка била в детстве, да? Это потому, что ты дурачком рос. Не помогло, кстати.",direct,дурачком,2,S
17,Руководитель лиги душнил объявился),Руководитель лиги душнил объявился),6,person,general_insult,Руководитель лиги душнил объявился),indirect,душнил,1,V
18,"ТС, без обид, но ты, кажется, непроходимо тупой . Строительство отношений - это когда ты СЕБЯ САМОГО, сцуко , меняешь, а не партнёра \""\""прогибаешь\""\"".","ТС, без обид, но ты, кажется, непроходимо тупой . Строительство отношений - это когда ты СЕБЯ САМОГО, сцуко , меняешь, а не партнёра \""\""прогибаешь\""\"".",7,author,general_insult,"ТС, без обид, но ты, кажется, непроходимо тупой",direct,тупой,1,A
20,Ты кладёшь хуй на знаки препинания и демонстрируешь твою беспросветную глупость .,Ты кладёшь хуй на знаки препинания и демонстрируешь твою беспросветную глупость .,8,person,general_insult,Ты кладёшь хуй на знаки препинания,indirect,хуй,1,S
20,Ты кладёшь хуй на знаки препинания и демонстрируешь твою беспросветную глупость .,Ты кладёшь хуй на знаки препинания и демонстрируешь твою беспросветную глупость .,8,person,general_insult,демонстрируешь твою беспросветную глупость,direct,глупость,1,S
